HBName,year,error4,percentage_4
NHS Ayrshire and Arran,2005,2,100
NHS Ayrshire and Arran,2006,3,100
NHS Ayrshire and Arran,2007,2,100
NHS Ayrshire and Arran,2008,3,100
NHS Ayrshire and Arran,2009,2,100
NHS Ayrshire and Arran,2010,6,100
NHS Ayrshire and Arran,2011,4,100
NHS Ayrshire and Arran,2012,22,100
NHS Ayrshire and Arran,2013,13,100
NHS Ayrshire and Arran,2014,12,100
NHS Ayrshire and Arran,2015,19,100
NHS Ayrshire and Arran,2016,12,100
NHS Ayrshire and Arran,2017,10,100
NHS Ayrshire and Arran,2018,3,100
NHS Ayrshire and Arran,2019,5,100
NHS Ayrshire and Arran,2020,11,100
NHS Ayrshire and Arran,2021,6,100
NHS Borders,2011,1,100
NHS Borders,2012,5,100
NHS Borders,2016,4,100
NHS Borders,2017,2,100
NHS Borders,2018,5,100
NHS Borders,2019,12,100
NHS Borders,2020,7,100
NHS Borders,2021,2,100
NHS Dumfries and Galloway,2001,1,100
NHS Dumfries and Galloway,2002,1,100
NHS Dumfries and Galloway,2004,1,100
NHS Dumfries and Galloway,2005,1,100
NHS Dumfries and Galloway,2007,3,100
NHS Dumfries and Galloway,2009,1,100
NHS Dumfries and Galloway,2010,3,100
NHS Dumfries and Galloway,2011,2,100
NHS Dumfries and Galloway,2012,4,100
NHS Dumfries and Galloway,2013,4,100
NHS Dumfries and Galloway,2019,1,100
NHS Dumfries and Galloway,2020,1,100
NHS Dumfries and Galloway,2021,1,100
NHS Fife,2003,1,100
NHS Fife,2004,2,100
NHS Fife,2005,4,100
NHS Fife,2006,2,100
NHS Fife,2007,7,100
NHS Fife,2008,2,100
NHS Fife,2009,4,100
NHS Fife,2010,5,100
NHS Fife,2011,8,100
NHS Fife,2012,10,100
NHS Fife,2013,17,100
NHS Fife,2014,13,100
NHS Fife,2015,7,100
NHS Fife,2016,15,100
NHS Fife,2017,51,100
NHS Fife,2018,52,100
NHS Fife,2019,39,100
NHS Fife,2020,8,100
NHS Fife,2021,1,100
NHS Forth Valley,1998,1,100
NHS Forth Valley,2018,2,100
NHS Forth Valley,2019,1,100
NHS Grampian,2008,13,100
NHS Grampian,2009,11,100
NHS Grampian,2010,16,100
NHS Grampian,2011,7,100
NHS Grampian,2012,6,100
NHS Grampian,2013,10,100
NHS Grampian,2014,7,100
NHS Grampian,2015,5,100
